職員番号,氏名,カナ,生年月日,性別,所属コード,所属名,雇用区分
1001,青木　一郎,ｱｵｷ ｲﾁﾛｳ,1968/6/11,1,1100,総務部総務課,正職員
1002,石川　花,ｲｼｶﾜ ﾊﾅ,1982/2/18,0,1100,総務部総務課,正職員
1003,上田　次郎,ｳｴﾀﾞ ｼﾞﾛｳ,1976/8/28,1,1100,総務部総務課,正職員
1004,江口　美穂,ｴｸﾞﾁ ﾐﾎ,1984/11/14,0,1100,総務部総務課,会計年度任用
1101,大野　三郎,ｵｵﾉ ｻﾌﾞﾛｳ,1971/3/8,1,1200,総務部財政課,正職員
1102,加藤　由紀,ｶﾄｳ ﾕｷ,1990/5/7,0,1200,総務部財政課,正職員
1103,木下　健,ｷﾉｼﾀ ｹﾝ,1979/5/25,1,1200,総務部財政課,正職員
1104,熊谷　彩,ｸﾏｶﾞｲ ｱﾔ,1987/8/11,0,1200,総務部財政課,正職員
1201,小松　悟,ｺﾏﾂ ｻﾄﾙ,1973/12/2,1,2100,市民部市民課,正職員
1202,佐藤　真理,ｻﾄｳ ﾏﾘ,1993/1/31,0,2100,市民部市民課,正職員
1203,島田　浩,ｼﾏﾀﾞ ﾋﾛｼ,1964/5/3,1,2100,市民部市民課,再任用
1204,菅原　千尋,ｽｶﾞﾜﾗ ﾁﾋﾛ,1997/3/11,0,2100,市民部市民課,正職員
1301,高橋　誠,ﾀｶﾊｼ ﾏｺﾄ,1983/7/3,1,2200,市民部税務課,正職員
1302,千葉　結衣,ﾁﾊﾞ ﾕｲ,2000/3/15,0,2200,市民部税務課,正職員
1303,角田　勇,ﾂﾉﾀﾞ ｲｻﾑ,1967/1/28,1,2200,市民部税務課,正職員
1401,照井　奈々,ﾃﾙｲ ﾅﾅ,1986/3/29,0,3100,保健福祉部健康推進課,正職員
1402,戸田　亮,ﾄﾀﾞ ﾘｮｳ,1978/1/10,1,3100,保健福祉部健康推進課,正職員
1403,中山　葵,ﾅｶﾔﾏ ｱｵｲ,1991/9/19,0,3100,保健福祉部健康推進課,正職員
1404,沼田　武,ﾇﾏﾀ ﾀｹｼ,1972/7/20,1,3100,保健福祉部健康推進課,正職員
1501,野村　香,ﾉﾑﾗ ｶｵﾘ,1980/10/6,0,4100,建設部建設課,正職員
1502,橋本　修一,ﾊｼﾓﾄ ｼｭｳｲﾁ,1969/10/24,1,4100,建設部建設課,正職員
1503,平野　さくら,ﾋﾗﾉ ｻｸﾗ,1994/6/15,0,4100,建設部建設課,会計年度任用
1601,福田　太一,ﾌｸﾀﾞ ﾀｲﾁ,1975/4/16,1,5100,議会事務局,正職員
1602,星　美咲,ﾎｼ ﾐｻｷ,1988/12/23,0,5100,議会事務局,正職員
